time(s),delay(ms)
3.9930320000000004,46.39
3.993844,46.356
3.993868,46.351
3.993895,46.368
3.993911,46.376
3.993942,46.399
3.99396,46.41
3.993974,46.417
3.994103,45.734
3.9941350000000004,45.75
3.994154,45.76
3.994194,45.793
3.99421,45.801
3.994237,45.782
3.9942469999999997,45.777
3.995215,45.961
3.995247,45.979
3.995285,46.009
3.995303,46.019
3.995333,46.041
3.995345,45.463
3.9953629999999998,45.464
3.995373,45.466
3.995391,45.476
3.9954,45.478
3.9968820000000003,46.953
3.996904,46.284
3.9969270000000003,46.292
3.996937,46.277
3.996955,46.278
3.9969650000000003,46.28
3.996982,46.289
3.996992,46.292
3.997009,46.301
3.99748,45.862
3.9975,45.868
3.99751,45.869
3.997531,45.883
3.997541,45.885
3.9975590000000003,45.896
3.9975680000000002,45.898
3.9975859999999996,45.909
3.998596,45.989
3.9986219999999997,45.998
3.998632,46.0
3.998657,46.018
3.9986680000000003,46.022
3.998685,46.032
3.998695,46.035
3.9987130000000004,46.046
3.999964,46.366
3.9999890000000002,46.376
3.999999,46.378
4.0000230000000006,46.395
4.000033,46.398
4.00005,46.408
4.0000599999999995,46.41
4.000077,46.42
4.000309000000001,45.726
4.000332,45.734
4.000344,45.738
4.000366,45.753
4.000376,45.756
4.000393,45.765
4.0004029999999995,45.768
4.00042,45.778
4.001336,45.798
4.001365,45.813
4.001384,45.824
4.001419,45.851
4.001434000000001,45.859
4.001454,45.866
4.002445,46.182
4.002478,46.198
4.002491,46.203
4.002514,46.219
4.002525,46.222
4.002543,46.233
4.0025520000000006,46.235
4.002569,46.245
4.003885,46.683
4.003914,46.698
4.003934,46.71
4.003969,46.737
4.003987,46.748
4.004017,46.77
4.004033,46.779
4.004062,46.8
4.004102,45.96
4.004119,45.959
4.0041329999999995,45.965
4.004166000000001,45.99
4.004184,46.001
4.004218,46.028
4.004234,46.036
4.004265,46.06
4.005093,46.018
4.00512,46.028
4.0051309999999996,46.031
4.005155,46.047
4.005166,46.051
4.005184,46.062
4.005194,46.065
4.005213,46.076
4.00619,46.191
4.006212,46.194
4.006222,46.196
4.0062429999999996,46.21
4.006252,46.212
4.00627,46.223
4.006279,46.225
4.006297,46.235
4.006307,45.376
4.006337,45.392
4.007601,46.648
4.007636,46.675
4.0076529999999995,46.685
4.007675,46.7
4.007685,46.09
4.007703,46.093
4.007712,46.094
4.0077300000000005,46.105
4.007739,46.107
4.007757,46.117
4.008721,47.074
4.008747,47.093
4.008764,46.267
4.008833,46.323
4.008883,46.365
4.008896,46.37
4.008916,46.383
4.008934,46.394
4.008944,46.397
4.009848,47.294
4.009875,46.487
4.009901,46.501
4.009912,46.504
4.00993,46.515
4.00994,46.517
4.009958,46.528
4.009968,46.53
4.009986,46.541
4.009996,46.544
4.010089,45.694
4.010116,45.703
4.010142,45.721
4.010153,45.724
4.010172,45.736
4.010181,45.738
4.010199,45.749
4.010209,45.752
4.0102269999999995,45.762
4.011257,45.868
4.011284,45.88
4.011296,45.883
4.011319,45.899
4.011329,45.902
4.011348,45.914
4.011357,45.915
4.011375,45.926
4.011385000000001,45.929
4.012659,46.295
4.012687,46.307
4.012714,46.326
4.012725,46.031
4.0127429999999995,46.036
4.012753,46.038
4.012771,46.049
4.01278,46.051
4.012798,46.062
4.013762,47.018
4.013789,47.038
4.013801,47.043
4.013825,46.017
4.0138359999999995,46.005
4.013854,46.002
4.013863,45.994
4.013882,46.005
4.013892,46.008
4.01391,46.019
4.014905000000001,47.006
4.014932,47.026
4.014943000000001,46.298
4.014967,46.305
4.014977,46.307
4.014995,46.318
4.015004,46.32
4.015022,46.33
4.015031,46.332
4.015094,46.388
4.015121,46.407
4.015147,45.537
4.015157,45.531
4.015176,45.542
4.015186,45.545
4.015204,45.556
4.015213,45.558
4.015231,45.568
4.015241,45.571
4.016256,46.579
4.016283,45.707
4.016311,45.721
4.016322,45.724
4.0163400000000005,45.735
4.01635,45.738
4.016368,45.749
4.0163780000000004,45.751
4.016396,45.762
4.016405,45.764
4.017218,45.69
4.017233,45.689
4.017253,45.701
4.017263,45.704
4.01728,45.713
4.017289,45.715
4.017307,45.726
4.017316,45.728
4.017334,45.739
4.018203,46.6
4.01823,45.756
4.018241,45.753
4.0182649999999995,45.769
4.018275,45.771
4.018293,45.782
4.019159,46.156
4.019187,46.17
4.019198,46.173
4.019222,46.189
4.019233,46.193
4.01925,46.203
4.01926,46.206
4.019278,46.217
4.019286999999999,46.219
4.0201080000000005,46.16
4.020136,46.172
4.020163,46.19
4.020182,46.202
4.020199,46.212
4.020217,46.223
4.020234,46.232
4.020251,46.242
4.020268,46.252
4.020284999999999,45.417
4.021217,46.334
4.021243,46.352
4.021269,46.371
4.021287,46.382
4.021305,46.393
4.021323,46.403
4.021341,46.408
4.021358,46.417
4.021387,45.602
4.0226370000000005,46.836
4.022664,46.855
4.02269,46.874
4.022708,46.885
4.022727,46.423
4.022745,46.416
4.022763,46.425
4.022781,46.435
4.022799,46.446
4.022816,46.455
4.023852,47.484
4.02388,47.504
4.023906,47.523
4.023924,46.709
4.023941,46.708
4.023959,46.718
4.0239769999999995,46.728
4.023995,46.739
4.024012,46.749
4.024532,47.262
4.024559,47.281
4.024585,47.3
4.024604,46.503
4.024621,46.502
4.0246390000000005,46.512
4.024656,46.521
4.024673,46.531
4.024691,46.542
4.024708,46.552
4.025486,47.322
4.025513,47.342
4.025539,47.361
4.025557,46.463
4.025574,46.461
4.0255920000000005,46.471
4.02561,46.482
4.025627,46.491
4.025645,46.502
4.025662,46.512
4.026476,47.318
4.026502,47.337
4.026528,47.356
4.026546,46.455
4.026564,46.457
4.026581999999999,46.467
4.0266,46.477
4.026617,46.487
4.026635000000001,46.498
4.0270850000000005,46.94
4.0271,46.948
4.02712,46.24
4.027136,46.241
4.027154,46.25
4.027171,46.26
4.027188,46.27
4.0272060000000005,46.281
4.027223,46.29
4.02724,46.3
4.02809,46.455
4.028118,46.469
4.028144,46.487
4.028164,46.5
4.028182,46.511
4.0282,46.522
4.028217,46.531
4.028234,46.541
4.028252,46.552
4.029194,47.487
4.029221,46.622
4.029246,46.633
4.029265,46.631
4.0292829999999995,46.632
4.0293,46.633
4.029318,46.632
4.029336,46.632
4.029353,46.641
4.029371,46.652
4.0311840000000005,48.457
4.031211,47.66
4.031237,47.668
4.031255,47.678
4.0312730000000006,47.688
4.031291,47.699
4.031309,47.71
4.031326,47.72
4.031344,47.724
4.031362,47.727
4.031379,47.736
4.031397,46.895
4.031414,46.893
4.031431,46.901
4.031448,46.911
4.031466,46.602
4.031483000000001,46.604
4.0315,46.613
4.031518,46.623
4.032903,46.926
4.032931,46.929
4.032958,46.939
4.032977,46.942
4.032995,46.944
4.0330129999999995,46.954
4.03303,46.963
4.033047,46.973
4.033065,46.984
4.033273,47.185
4.0333000000000006,46.843
4.033326,46.856
4.033345,46.867
4.033363,46.877
4.03338,46.887
4.033398,46.897
4.033416,46.908
4.033434000000001,46.919
4.033451,46.929
4.034384,47.854
4.034411,46.992
4.034421,46.979
4.034444,46.986
4.0344619999999995,46.988
