date_time,test_number,PRR_A,PRR_B
2019-09-09 07:43:01+00:00,73815,80.0,80.0
2019-09-09 16:28:01+00:00,73816,88.0,92.0
2019-09-09 04:48:01+00:00,73817,84.0,84.0
2019-09-09 03:24:01+00:00,73818,84.0,96.0
2019-09-09 14:29:01+00:00,73819,84.0,88.0
2019-09-09 11:41:01+00:00,73820,72.0,88.0
2019-09-09 02:21:01+00:00,73821,80.0,88.0
2019-09-09 02:14:01+00:00,73822,92.0,92.0
2019-09-09 11:34:01+00:00,73823,84.0,92.0
2019-09-08 23:54:01+00:00,73824,92.0,84.0
2019-09-09 07:57:01+00:00,73825,88.0,92.0
2019-09-09 02:49:01+00:00,73826,84.0,88.0
2019-09-09 06:12:01+00:00,73827,88.0,88.0
2019-09-09 19:51:01+00:00,73828,80.0,80.0
2019-09-09 08:25:01+00:00,73829,88.0,84.0
2019-09-09 17:31:01+00:00,73830,76.0,88.0
2019-09-09 14:08:01+00:00,73831,80.0,88.0
2019-09-09 00:08:01+00:00,73832,92.0,96.0
2019-09-09 08:32:01+00:00,73833,88.0,84.0
